player_name,role,nationality,season,auction_price_cr,is_overseas
Virat Kohli,Batter,Indian,2019,18.55,0
Virat Kohli,Batter,Indian,2020,14.73,0
Virat Kohli,Batter,Indian,2021,20.0,0
Virat Kohli,Batter,Indian,2022,15.0,0
Virat Kohli,Batter,Indian,2023,15.0,0
Virat Kohli,Batter,Indian,2024,15.0,0
Rohit Sharma,Batter,Indian,2019,19.01,0
Rohit Sharma,Batter,Indian,2020,11.97,0
Rohit Sharma,Batter,Indian,2021,12.17,0
Rohit Sharma,Batter,Indian,2022,16.0,0
Rohit Sharma,Batter,Indian,2023,16.0,0
Rohit Sharma,Batter,Indian,2024,16.0,0
David Warner,Batter,Overseas,2019,16.11,1
David Warner,Batter,Overseas,2020,12.19,1
David Warner,Batter,Overseas,2021,20.0,1
David Warner,Batter,Overseas,2022,6.25,1
David Warner,Batter,Overseas,2023,6.25,1
David Warner,Batter,Overseas,2024,0.0,1
Shubman Gill,Batter,Indian,2019,5.82,0
Shubman Gill,Batter,Indian,2020,6.09,0
Shubman Gill,Batter,Indian,2021,5.3,0
Shubman Gill,Batter,Indian,2022,8.0,0
Shubman Gill,Batter,Indian,2023,8.0,0
Shubman Gill,Batter,Indian,2024,8.0,0
KL Rahul,WK-Batter,Indian,2019,10.16,0
KL Rahul,WK-Batter,Indian,2020,11.03,0
KL Rahul,WK-Batter,Indian,2021,8.99,0
KL Rahul,WK-Batter,Indian,2022,17.0,0
KL Rahul,WK-Batter,Indian,2023,17.0,0
KL Rahul,WK-Batter,Indian,2024,17.0,0
Faf du Plessis,Batter,Overseas,2019,10.71,1
Faf du Plessis,Batter,Overseas,2020,9.01,1
Faf du Plessis,Batter,Overseas,2021,10.04,1
Faf du Plessis,Batter,Overseas,2022,7.0,1
Faf du Plessis,Batter,Overseas,2023,7.0,1
Faf du Plessis,Batter,Overseas,2024,7.0,1
Jos Buttler,WK-Batter,Overseas,2019,10.88,1
Jos Buttler,WK-Batter,Overseas,2020,10.11,1
Jos Buttler,WK-Batter,Overseas,2021,9.43,1
Jos Buttler,WK-Batter,Overseas,2022,10.0,1
Jos Buttler,WK-Batter,Overseas,2023,10.0,1
Jos Buttler,WK-Batter,Overseas,2024,10.0,1
Suryakumar Yadav,Batter,Indian,2019,10.78,0
Suryakumar Yadav,Batter,Indian,2020,6.23,0
Suryakumar Yadav,Batter,Indian,2021,7.07,0
Suryakumar Yadav,Batter,Indian,2022,8.0,0
Suryakumar Yadav,Batter,Indian,2023,8.0,0
