player_name,team,nationality,role,season,matches,runs,batting_avg,strike_rate,fifties,hundreds,dot_ball_pct,boundary_pct,six_pct,career_matches,career_runs,career_avg,career_sr,career_fifties,career_hundreds,seasons_played
Virat Kohli,RCB,Indian,Batter,2019,8,567,43.68,125.0,3,0,25.9,60.6,20.8,243,7263,37.25,130.0,50,7,16
Virat Kohli,RCB,Indian,Batter,2020,9,520,31.02,127.7,3,0,23.0,56.8,13.6,243,7263,37.25,130.0,50,7,16
Virat Kohli,RCB,Indian,Batter,2021,11,393,42.24,122.8,2,0,26.9,56.4,10.9,243,7263,37.25,130.0,50,7,16
Virat Kohli,RCB,Indian,Batter,2022,18,579,41.6,135.7,3,0,38.8,60.7,21.0,243,7263,37.25,130.0,50,7,16
Virat Kohli,RCB,Indian,Batter,2023,15,548,30.22,126.6,3,0,41.7,64.9,16.5,243,7263,37.25,130.0,50,7,16
Virat Kohli,RCB,Indian,Batter,2024,10,363,36.75,124.8,2,0,29.1,53.6,13.2,243,7263,37.25,130.0,50,7,16
Rohit Sharma,MI,Indian,Batter,2019,15,482,28.86,139.7,3,0,37.5,58.4,27.7,243,6211,29.57,130.6,42,1,16
Rohit Sharma,MI,Indian,Batter,2020,9,309,28.81,137.6,2,0,27.7,52.1,21.7,243,6211,29.57,130.6,42,1,16
Rohit Sharma,MI,Indian,Batter,2021,13,354,34.05,128.9,2,0,36.7,64.1,29.8,243,6211,29.57,130.6,42,1,16
Rohit Sharma,MI,Indian,Batter,2022,11,371,31.79,138.2,2,0,43.1,62.8,10.0,243,6211,29.57,130.6,42,1,16
Rohit Sharma,MI,Indian,Batter,2023,18,460,24.48,139.0,3,0,36.7,40.7,16.0,243,6211,29.57,130.6,42,1,16
Rohit Sharma,MI,Indian,Batter,2024,14,445,27.18,131.0,3,0,24.5,41.8,19.3,243,6211,29.57,130.6,42,1,16
David Warner,SRH,Overseas,Batter,2019,13,524,48.5,141.0,4,0,32.4,55.1,27.6,176,6397,41.28,139.9,59,4,14
David Warner,SRH,Overseas,Batter,2020,13,394,42.12,130.4,3,0,22.6,60.7,17.7,176,6397,41.28,139.9,59,4,14
David Warner,SRH,Overseas,Batter,2021,13,581,47.01,132.6,5,0,20.5,56.3,16.1,176,6397,41.28,139.9,59,4,14
David Warner,SRH,Overseas,Batter,2022,13,576,46.73,145.8,5,0,39.2,59.4,17.0,176,6397,41.28,139.9,59,4,14
David Warner,SRH,Overseas,Batter,2023,17,546,33.72,133.8,5,0,42.1,43.1,26.4,176,6397,41.28,139.9,59,4,14
David Warner,SRH,Overseas,Batter,2024,8,434,49.37,137.4,4,0,25.8,48.3,22.1,176,6397,41.28,139.9,59,4,14
Shubman Gill,GT,Indian,Batter,2019,9,716,34.17,129.6,5,0,26.5,53.1,15.3,93,2945,36.81,133.4,22,3,5
Shubman Gill,GT,Indian,Batter,2020,17,611,30.81,134.3,4,0,43.8,57.5,26.6,93,2945,36.81,133.4,22,3,5
Shubman Gill,GT,Indian,Batter,2021,14,605,36.28,140.0,4,0,43.7,48.2,12.5,93,2945,36.81,133.4,22,3,5
Shubman Gill,GT,Indian,Batter,2022,16,546,39.61,143.9,4,0,36.1,53.2,20.2,93,2945,36.81,133.4,22,3,5
Shubman Gill,GT,Indian,Batter,2023,14,624,30.83,136.7,4,0,35.3,41.5,18.9,93,2945,36.81,133.4,22,3,5
Shubman Gill,GT,Indian,Batter,2024,12,498,36.94,142.3,3,0,37.5,48.2,14.0,93,2945,36.81,133.4,22,3,5
KL Rahul,LSG,Indian,WK-Batter,2019,8,349,48.14,138.0,3,0,40.2,51.9,18.5,132,4683,47.3,134.9,41,3,11
KL Rahul,LSG,Indian,WK-Batter,2020,15,487,50.39,132.4,4,0,39.2,49.0,21.9,132,4683,47.3,134.9,41,3,11
KL Rahul,LSG,Indian,WK-Batter,2021,14,494,45.33,131.7,4,0,42.3,56.6,25.3,132,4683,47.3,134.9,41,3,11
KL Rahul,LSG,Indian,WK-Batter,2022,10,358,38.62,141.8,3,0,25.6,58.1,10.2,132,4683,47.3,134.9,41,3,11
KL Rahul,LSG,Indian,WK-Batter,2023,16,483,56.33,139.3,4,0,38.4,44.3,24.4,132,4683,47.3,134.9,41,3,11
KL Rahul,LSG,Indian,WK-Batter,2024,16,493,51.39,137.2,4,0,21.6,63.3,17.5,132,4683,47.3,134.9,41,3,11
Faf du Plessis,RCB,Overseas,Batter,2019,9,345,41.67,140.2,2,0,36.9,50.0,17.5,130,4167,35.18,133.0,28,2,12
Faf du Plessis,RCB,Overseas,Batter,2020,14,371,37.49,141.1,2,0,31.2,63.9,11.3,130,4167,35.18,133.0,28,2,12
Faf du Plessis,RCB,Overseas,Batter,2021,14,257,30.29,130.1,1,0,21.2,50.6,12.1,130,4167,35.18,133.0,28,2,12
Faf du Plessis,RCB,Overseas,Batter,2022,12,360,37.47,134.9,2,0,26.5,43.3,26.9,130,4167,35.18,133.0,28,2,12
Faf du Plessis,RCB,Overseas,Batter,2023,14,413,31.38,130.8,2,0,25.9,44.5,15.6,130,4167,35.18,133.0,28,2,12
Faf du Plessis,RCB,Overseas,Batter,2024,14,380,35.36,137.9,2,0,23.7,55.7,9.6,130,4167,35.18,133.0,28,2,12
Jos Buttler,RR,Overseas,WK-Batter,2019,17,438,35.68,148.5,3,0,23.9,52.0,9.9,107,3582,37.71,149.5,29,4,8
Jos Buttler,RR,Overseas,WK-Batter,2020,11,540,31.73,146.7,4,0,32.5,42.2,21.9,107,3582,37.71,149.5,29,4,8
Jos Buttler,RR,Overseas,WK-Batter,2021,18,402,36.7,158.4,3,0,44.4,65.0,23.5,107,3582,37.71,149.5,29,4,8
Jos Buttler,RR,Overseas,WK-Batter,2022,20,321,45.15,157.8,2,0,33.4,40.5,8.5,107,3582,37.71,149.5,29,4,8
Jos Buttler,RR,Overseas,WK-Batter,2023,14,377,32.24,157.6,3,0,39.5,52.2,24.5,107,3582,37.71,149.5,29,4,8
Jos Buttler,RR,Overseas,WK-Batter,2024,13,378,33.01,145.9,3,0,32.6,52.4,22.6,107,3582,37.71,149.5,29,4,8
Suryakumar Yadav,MI,Indian,Batter,2019,13,269,33.25,159.0,1,0,22.2,54.4,29.8,145,3417,31.64,148.8,24,1,12
Suryakumar Yadav,MI,Indian,Batter,2020,13,347,34.2,157.2,2,0,27.6,54.0,18.1,145,3417,31.64,148.8,24,1,12
Suryakumar Yadav,MI,Indian,Batter,2021,15,282,25.91,138.7,1,0,23.3,62.6,22.3,145,3417,31.64,148.8,24,1,12
Suryakumar Yadav,MI,Indian,Batter,2022,11,269,35.68,152.1,1,0,25.8,48.4,15.3,145,3417,31.64,148.8,24,1,12
Suryakumar Yadav,MI,Indian,Batter,2023,12,257,30.59,140.9,1,0,21.0,54.4,27.6,145,3417,31.64,148.8,24,1,12
Suryakumar Yadav,MI,Indian,Batter,2024,13,303,35.63,138.1,2,0,42.0,53.3,16.6,145,3417,31.64,148.8,24,1,12
Ruturaj Gaikwad,CSK,Indian,Batter,2019,13,495,37.91,124.6,3,0,32.5,53.0,23.7,76,2511,38.63,134.4,19,1,5
Ruturaj Gaikwad,CSK,Indian,Batter,2020,9,446,41.97,131.4,3,0,20.8,41.0,16.7,76,2511,38.63,134.4,19,1,5
Ruturaj Gaikwad,CSK,Indian,Batter,2021,17,602,31.45,134.2,4,0,41.1,40.2,12.4,76,2511,38.63,134.4,19,1,5
Ruturaj Gaikwad,CSK,Indian,Batter,2022,14,608,39.58,131.2,4,0,31.0,44.1,16.9,76,2511,38.63,134.4,19,1,5
Ruturaj Gaikwad,CSK,Indian,Batter,2023,12,437,38.28,142.6,3,0,29.9,52.5,15.0,76,2511,38.63,134.4,19,1,5
Ruturaj Gaikwad,CSK,Indian,Batter,2024,16,553,33.41,124.3,4,0,29.7,49.3,24.2,76,2511,38.63,134.4,19,1,5
Yashasvi Jaiswal,RR,Indian,Batter,2022,17,419,31.56,163.2,3,0,35.8,64.4,21.9,30,863,32.0,153.8,7,1,2
Yashasvi Jaiswal,RR,Indian,Batter,2023,6,492,38.35,145.0,3,0,30.4,52.5,14.5,30,863,32.0,153.8,7,1,2
Yashasvi Jaiswal,RR,Indian,Batter,2024,14,454,26.05,162.8,3,0,22.9,63.0,29.4,30,863,32.0,153.8,7,1,2
MS Dhoni,CSK,Indian,WK-Batter,2019,13,237,43.91,145.7,1,0,36.1,64.5,20.2,250,5082,38.49,135.2,24,0,16
MS Dhoni,CSK,Indian,WK-Batter,2020,13,269,34.06,141.6,1,0,44.9,41.3,29.5,250,5082,38.49,135.2,24,0,16
MS Dhoni,CSK,Indian,WK-Batter,2021,18,225,43.48,129.4,1,0,44.0,55.9,11.1,250,5082,38.49,135.2,24,0,16
MS Dhoni,CSK,Indian,WK-Batter,2022,17,238,36.68,136.4,1,0,23.1,41.6,24.9,250,5082,38.49,135.2,24,0,16
MS Dhoni,CSK,Indian,WK-Batter,2023,11,402,41.41,130.3,1,0,36.2,60.3,9.2,250,5082,38.49,135.2,24,0,16
MS Dhoni,CSK,Indian,WK-Batter,2024,13,241,44.54,143.2,1,0,20.4,44.7,11.1,250,5082,38.49,135.2,24,0,16
AB de Villiers,RCB,Overseas,Batter,2019,13,281,33.55,162.5,2,0,38.2,55.3,28.4,184,5162,39.7,151.7,40,3,14
AB de Villiers,RCB,Overseas,Batter,2020,8,269,39.52,145.3,2,0,23.2,51.4,12.3,184,5162,39.7,151.7,40,3,14
AB de Villiers,RCB,Overseas,Batter,2021,14,332,32.55,162.5,2,0,44.7,52.9,9.4,184,5162,39.7,151.7,40,3,14
AB de Villiers,RCB,Overseas,Batter,2022,15,395,35.2,149.1,3,0,44.9,56.8,10.0,184,5162,39.7,151.7,40,3,14
AB de Villiers,RCB,Overseas,Batter,2023,14,433,39.91,144.2,3,0,28.5,57.2,23.4,184,5162,39.7,151.7,40,3,14
