player_name,team,nationality,role,season,wickets,bowling_avg,economy_rate,bowling_sr,dot_ball_pct,death_economy,powerplay_wickets,career_wickets,career_bowling_avg,career_economy,career_bowling_sr,seasons_played
Hardik Pandya,MI,Indian,All-Rounder,2019,5,29.64,8.77,15.9,33.4,9.64,2,42,26.4,8.87,17.9,9
Hardik Pandya,MI,Indian,All-Rounder,2020,4,22.85,8.69,16.9,40.4,9.9,1,42,26.4,8.87,17.9,9
Hardik Pandya,MI,Indian,All-Rounder,2021,5,23.09,9.31,17.3,39.5,11.02,2,42,26.4,8.87,17.9,9
Hardik Pandya,MI,Indian,All-Rounder,2022,3,27.98,9.01,17.4,54.3,10.22,0,42,26.4,8.87,17.9,9
Hardik Pandya,MI,Indian,All-Rounder,2023,5,25.14,9.04,17.5,35.8,9.92,1,42,26.4,8.87,17.9,9
Hardik Pandya,MI,Indian,All-Rounder,2024,3,27.15,8.72,16.5,34.2,8.9,0,42,26.4,8.87,17.9,9
Ravindra Jadeja,CSK,Indian,All-Rounder,2019,5,31.54,7.21,23.3,46.6,8.24,2,132,29.17,7.62,22.9,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2020,8,28.82,8.17,20.5,49.9,9.53,3,132,29.17,7.62,22.9,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2021,10,30.12,7.99,24.6,34.2,9.2,2,132,29.17,7.62,22.9,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2022,5,32.46,8.11,22.0,51.9,8.38,1,132,29.17,7.62,22.9,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2023,7,24.81,7.44,20.5,40.2,6.73,1,132,29.17,7.62,22.9,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2024,10,29.37,8.03,25.6,30.4,7.98,4,132,29.17,7.62,22.9,16
Andre Russell,KKR,Overseas,All-Rounder,2019,8,25.34,8.47,15.8,39.8,9.15,2,87,23.8,9.17,15.6,12
Andre Russell,KKR,Overseas,All-Rounder,2020,8,22.73,9.36,16.9,46.2,10.02,3,87,23.8,9.17,15.6,12
Andre Russell,KKR,Overseas,All-Rounder,2021,8,21.68,9.35,15.0,43.5,9.1,3,87,23.8,9.17,15.6,12
Andre Russell,KKR,Overseas,All-Rounder,2022,8,26.9,9.06,16.7,44.4,8.31,1,87,23.8,9.17,15.6,12
Andre Russell,KKR,Overseas,All-Rounder,2023,8,26.76,8.68,16.8,48.5,9.7,3,87,23.8,9.17,15.6,12
Andre Russell,KKR,Overseas,All-Rounder,2024,9,23.79,8.92,16.7,40.5,9.66,2,87,23.8,9.17,15.6,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2019,2,29.24,7.93,21.9,40.8,8.94,0,41,30.1,7.82,23.1,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2020,2,29.76,8.37,24.4,31.3,8.23,0,41,30.1,7.82,23.1,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2021,2,30.91,8.42,22.3,36.2,9.78,0,41,30.1,7.82,23.1,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2022,3,33.66,7.69,25.1,54.2,7.49,0,41,30.1,7.82,23.1,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2023,2,25.75,7.58,21.7,52.2,8.77,0,41,30.1,7.82,23.1,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2024,3,28.91,7.94,20.4,42.5,7.75,0,41,30.1,7.82,23.1,12
Ben Stokes,CSK,Overseas,All-Rounder,2019,3,30.7,9.08,24.9,39.0,8.84,1,28,32.6,8.45,23.1,7
Ben Stokes,CSK,Overseas,All-Rounder,2020,2,34.02,8.29,22.5,49.3,7.89,0,28,32.6,8.45,23.1,7
Ben Stokes,CSK,Overseas,All-Rounder,2021,4,35.79,8.97,22.1,39.9,10.23,0,28,32.6,8.45,23.1,7
Ben Stokes,CSK,Overseas,All-Rounder,2022,3,30.23,8.78,24.9,47.4,8.2,0,28,32.6,8.45,23.1,7
Ben Stokes,CSK,Overseas,All-Rounder,2023,3,29.83,8.67,25.3,35.4,9.05,1,28,32.6,8.45,23.1,7
Ben Stokes,CSK,Overseas,All-Rounder,2024,3,36.58,7.84,25.1,46.4,8.5,0,28,32.6,8.45,23.1,7
Sam Curran,PBKS,Overseas,All-Rounder,2019,9,21.66,8.41,13.6,40.8,8.75,3,63,21.7,8.83,14.7,5
Sam Curran,PBKS,Overseas,All-Rounder,2020,14,21.8,9.42,14.3,50.0,10.23,5,63,21.7,8.83,14.7,5
Sam Curran,PBKS,Overseas,All-Rounder,2021,11,22.06,8.25,14.8,47.8,8.73,3,63,21.7,8.83,14.7,5
Sam Curran,PBKS,Overseas,All-Rounder,2022,14,23.61,8.95,16.4,31.8,9.13,5,63,21.7,8.83,14.7,5
Sam Curran,PBKS,Overseas,All-Rounder,2023,10,22.36,8.62,13.8,45.8,9.42,4,63,21.7,8.83,14.7,5
Sam Curran,PBKS,Overseas,All-Rounder,2024,10,22.69,8.76,15.7,41.4,8.7,3,63,21.7,8.83,14.7,5
Axar Patel,DC,Indian,All-Rounder,2019,6,27.98,7.73,24.4,35.8,8.09,1,97,28.3,7.44,22.8,10
Axar Patel,DC,Indian,All-Rounder,2020,8,32.47,7.96,23.3,54.6,9.31,3,97,28.3,7.44,22.8,10
Axar Patel,DC,Indian,All-Rounder,2021,11,27.32,6.92,22.0,40.7,6.76,2,97,28.3,7.44,22.8,10
Axar Patel,DC,Indian,All-Rounder,2022,9,29.75,7.52,23.9,30.1,8.15,3,97,28.3,7.44,22.8,10
Axar Patel,DC,Indian,All-Rounder,2023,7,29.42,8.0,20.7,52.5,8.78,3,97,28.3,7.44,22.8,10
Axar Patel,DC,Indian,All-Rounder,2024,7,30.3,7.84,24.3,52.4,7.93,2,97,28.3,7.44,22.8,10
Washington Sundar,SRH,Indian,All-Rounder,2019,8,29.35,7.18,23.8,44.4,8.19,2,62,30.8,7.15,25.8,7
Washington Sundar,SRH,Indian,All-Rounder,2020,11,30.65,6.77,28.0,45.1,7.42,3,62,30.8,7.15,25.8,7
Washington Sundar,SRH,Indian,All-Rounder,2021,9,33.63,7.5,26.2,53.0,8.33,3,62,30.8,7.15,25.8,7
Washington Sundar,SRH,Indian,All-Rounder,2022,9,30.64,7.64,27.3,44.4,7.73,4,62,30.8,7.15,25.8,7
Washington Sundar,SRH,Indian,All-Rounder,2023,7,31.57,7.51,25.3,51.3,7.68,1,62,30.8,7.15,25.8,7
Washington Sundar,SRH,Indian,All-Rounder,2024,7,30.03,7.42,24.8,37.0,6.75,3,62,30.8,7.15,25.8,7
Marcus Stoinis,LSG,Overseas,All-Rounder,2019,4,37.3,9.82,22.1,46.7,9.14,1,36,32.9,9.12,21.6,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2020,4,34.75,9.38,23.3,32.4,8.87,1,36,32.9,9.12,21.6,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2021,3,34.39,8.68,19.6,46.3,8.98,0,36,32.9,9.12,21.6,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2022,5,32.95,9.41,23.8,34.0,10.06,1,36,32.9,9.12,21.6,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2023,3,36.21,8.93,22.2,32.6,9.02,1,36,32.9,9.12,21.6,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2024,4,37.23,9.29,19.2,52.9,8.98,1,36,32.9,9.12,21.6,9
Liam Livingstone,PBKS,Overseas,All-Rounder,2021,6,30.64,9.07,21.8,33.6,9.19,2,22,34.7,8.72,23.8,3
Liam Livingstone,PBKS,Overseas,All-Rounder,2022,6,36.86,9.23,24.0,38.1,9.9,1,22,34.7,8.72,23.8,3
Liam Livingstone,PBKS,Overseas,All-Rounder,2023,5,30.61,8.86,23.3,50.2,10.11,1,22,34.7,8.72,23.8,3
Liam Livingstone,PBKS,Overseas,All-Rounder,2024,8,31.22,8.97,22.2,48.0,10.75,2,22,34.7,8.72,23.8,3
Pat Cummins,KKR,Overseas,All-Rounder,2019,6,22.44,9.29,16.0,36.0,9.68,2,57,24.5,8.64,17.0,10
Pat Cummins,KKR,Overseas,All-Rounder,2020,6,21.48,9.27,16.8,50.8,9.85,2,57,24.5,8.64,17.0,10
Pat Cummins,KKR,Overseas,All-Rounder,2021,4,23.27,8.74,16.2,41.0,8.14,1,57,24.5,8.64,17.0,10
Pat Cummins,KKR,Overseas,All-Rounder,2022,4,21.43,8.66,17.6,46.7,9.94,1,57,24.5,8.64,17.0,10
Pat Cummins,KKR,Overseas,All-Rounder,2023,6,28.0,8.47,15.2,34.7,9.63,2,57,24.5,8.64,17.0,10
Pat Cummins,KKR,Overseas,All-Rounder,2024,5,26.27,9.29,18.2,36.4,9.4,2,57,24.5,8.64,17.0,10
